state,action,next state,reward
"(1, 1, -1)",activePlanning,"(0, 0, 1)",2
"(-1, -1, 0)",remindTruths,"(0, 1, 0)",2
"(0, 1, 1)",remindTruths,"(1, -1, 1)",2
"(-1, 1, 0)",remindTruths,"(-1, 0, 1)",0
"(1, -1, -1)",rewardPunish,"(1, 1, 1)",6
"(-1, 0, -1)",activePlanning,"(1, 1, 1)",6
"(0, -1, -1)",remindTruths,"(0, -1, -1)",-4
"(1, 0, -1)",rewardPunish,"(1, 0, 1)",4
"(1, 0, 0)",remindTruths,"(-1, 0, 1)",0
"(-1, 1, 0)",activePlanning,"(1, 0, -1)",0
"(-1, -1, 1)",rewardPunish,"(1, 1, 0)",4
"(-1, -1, -1)",rewardPunish,"(-1, 1, 0)",0
"(-1, 1, 1)",remindTruths,"(0, 0, -1)",-2
"(1, 1, 0)",rewardPunish,"(-1, 1, 1)",2
"(1, 1, 0)",activePlanning,"(-1, 0, 1)",0
"(0, -1, -1)",rewardPunish,"(0, 0, 1)",2
"(0, 0, 1)",activePlanning,"(0, -1, 0)",-2
"(0, 0, 1)",activePlanning,"(1, 0, -1)",0
"(-1, 0, 0)",remindTruths,"(0, -1, 0)",-2
"(1, 0, 0)",activePlanning,"(0, -1, 0)",-2
"(1, -1, 1)",remindTruths,"(0, 1, -1)",0
"(1, 1, 0)",rewardPunish,"(-1, 0, 1)",0
"(-1, -1, -1)",activePlanning,"(1, 0, -1)",0
"(0, 0, -1)",activePlanning,"(-1, 1, -1)",-2
"(-1, 1, 0)",activePlanning,"(0, -1, -1)",-4
"(-1, 0, -1)",rewardPunish,"(1, -1, 1)",2
"(-1, 1, 0)",remindTruths,"(-1, 1, -1)",-2
"(0, 1, 1)",rewardPunish,"(1, 0, -1)",0
"(-1, -1, 0)",remindTruths,"(-1, 1, -1)",-2
"(-1, -1, -1)",rewardPunish,"(-1, 1, 0)",0
"(1, -1, 0)",activePlanning,"(-1, -1, 0)",-4
"(1, 1, 1)",activePlanning,"(0, 0, -1)",-2
"(0, 0, 1)",remindTruths,"(-1, 0, 0)",-2
"(1, 0, -1)",activePlanning,"(0, -1, 0)",-2
"(-1, 1, 1)",rewardPunish,"(0, 0, -1)",-2
"(1, -1, -1)",remindTruths,"(-1, -1, 0)",-4
"(1, -1, 0)",rewardPunish,"(-1, 1, 0)",0
"(1, -1, 0)",remindTruths,"(0, -1, 0)",-2
"(-1, 0, 1)",activePlanning,"(-1, 0, 0)",-2
"(1, 1, -1)",rewardPunish,"(1, 0, 0)",2
"(1, -1, 1)",rewardPunish,"(-1, 1, 1)",2
"(-1, 0, -1)",remindTruths,"(1, 0, -1)",0
"(0, -1, 1)",rewardPunish,"(-1, -1, -1)",-6
"(1, 1, 0)",remindTruths,"(0, 0, 0)",0
"(-1, -1, 0)",activePlanning,"(0, 0, -1)",-2
"(-1, 1, -1)",remindTruths,"(1, 1, 0)",4
"(-1, 0, 1)",remindTruths,"(0, -1, 1)",0
"(1, 1, 1)",remindTruths,"(0, -1, -1)",-4
"(-1, -1, 0)",activePlanning,"(0, 1, 1)",4
"(-1, 1, 0)",rewardPunish,"(-1, -1, 1)",-2
"(1, 0, 1)",remindTruths,"(-1, 1, 1)",2
"(1, 1, 0)",rewardPunish,"(1, -1, 1)",2
"(1, 1, 1)",remindTruths,"(0, -1, 0)",-2
"(1, 1, 1)",remindTruths,"(0, -1, -1)",-4
"(0, 0, 0)",activePlanning,"(0, -1, -1)",-4
"(0, -1, 1)",activePlanning,"(0, 1, -1)",0
"(0, 0, 1)",activePlanning,"(0, -1, -1)",-4
"(0, 0, 1)",activePlanning,"(1, 1, 1)",6
"(-1, 1, 0)",rewardPunish,"(-1, 0, -1)",-4
"(-1, -1, -1)",activePlanning,"(-1, 1, -1)",-2
"(0, -1, 0)",remindTruths,"(-1, 0, -1)",-4
"(-1, 0, 1)",remindTruths,"(0, -1, 0)",-2
"(-1, -1, 0)",rewardPunish,"(0, 0, 1)",2
"(-1, 1, 0)",rewardPunish,"(1, 0, 0)",2
"(1, 0, -1)",remindTruths,"(1, 0, -1)",0
"(0, 0, -1)",rewardPunish,"(1, -1, -1)",-2
"(1, 0, 0)",rewardPunish,"(1, 0, -1)",0
"(1, 0, 1)",activePlanning,"(-1, 1, -1)",-2
"(-1, 0, 0)",activePlanning,"(0, 1, -1)",0
"(1, 0, 1)",rewardPunish,"(-1, 0, -1)",-4
"(0, 1, 0)",activePlanning,"(0, 0, 0)",0
"(-1, -1, 0)",rewardPunish,"(-1, 1, 1)",2
"(0, -1, 0)",remindTruths,"(-1, 0, -1)",-4
"(1, 1, 0)",remindTruths,"(1, 0, 1)",4
"(0, -1, 0)",activePlanning,"(0, -1, 1)",0
"(0, 1, -1)",remindTruths,"(-1, -1, -1)",-6
"(1, -1, 1)",rewardPunish,"(-1, -1, 0)",-4
"(-1, 1, -1)",remindTruths,"(-1, 0, 0)",-2
"(-1, 0, -1)",remindTruths,"(-1, 1, 0)",0
"(-1, 1, 0)",activePlanning,"(1, 0, 0)",2
"(0, -1, 0)",rewardPunish,"(0, -1, 0)",-2
"(-1, 0, 1)",remindTruths,"(1, 0, 0)",2
"(0, 1, -1)",remindTruths,"(0, 1, 1)",4
"(1, 0, -1)",rewardPunish,"(-1, 0, 1)",0
"(1, 0, 0)",remindTruths,"(1, 0, -1)",0
"(1, -1, -1)",activePlanning,"(1, 0, -1)",0
"(1, -1, 1)",activePlanning,"(-1, 0, 0)",-2
"(1, 0, 1)",activePlanning,"(0, -1, -1)",-4
"(1, -1, -1)",rewardPunish,"(-1, 0, -1)",-4
"(1, 1, 0)",rewardPunish,"(0, 0, -1)",-2
"(1, -1, 1)",remindTruths,"(-1, 1, 1)",2
"(0, -1, 0)",activePlanning,"(-1, 0, 0)",-2
"(0, 1, 0)",rewardPunish,"(0, -1, 1)",0
"(-1, 1, 0)",remindTruths,"(-1, 0, 0)",-2
"(-1, 0, 1)",remindTruths,"(0, 1, -1)",0
"(1, 0, 0)",rewardPunish,"(1, 0, 0)",2
"(-1, -1, 0)",rewardPunish,"(0, 0, -1)",-2
"(1, -1, 0)",remindTruths,"(0, -1, -1)",-4
"(1, 0, 0)",remindTruths,"(-1, 0, 0)",-2
"(0, 0, -1)",rewardPunish,"(1, 0, 1)",4
"(0, 0, -1)",remindTruths,"(1, -1, -1)",-2
"(0, 1, -1)",activePlanning,"(1, 0, 1)",4
"(0, -1, 1)",activePlanning,"(-1, 1, -1)",-2
"(0, -1, 1)",remindTruths,"(0, 0, 0)",0
"(1, -1, 0)",remindTruths,"(1, 0, 0)",2
"(1, -1, 0)",remindTruths,"(1, 0, -1)",0
